Ring_Number	Year	Time_capt_dec	Temperature_capture	Temp_meandaycapture	Temp_previousdaymean	Temp_3daypreviousrunningmean	Temp_mindaycapture	Temp_previousdaymin	Temp_3daypreviousrunningmin	Temp_maxdaycapture	Temp_previousdaymax	Temp_3daypreviousrunningmax	sex	time_measured_CORT0sec	CORT0	time_measured_CORT30	CORT30
C1X0934	2015	12.53333333	15.772	12.97375	12.62425	12.21225	10.614	8.319	9.698666667	15.963	16.892	14.78733333	2	110	8150.38	1740	35835.87
C1X0934	2016	9	17.463	13.96975	13.61379167	13.48595833	11.127	10.418	10.78433333	19.674	17.724	17.034	2	134	1613.67	1980	12143.25
C1X0935	2015	9.5	13.305	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	2	200	3569.076	1830	6387.2
C1X0936	2015	10.45	10.712	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	2	135	11275.964	1780	33233.04
C1X0940	2015	8.55	15.676	15.249375	12.97375	12.16786111	8.469	10.614	9.373666667	20.412	15.963	15.12966667	2	120	6971.58	2040	30463.84
C1X0940	2016	10.7	14.07	11.20341667	7.300958333	6.372638889	6.306	4.558	4.627333333	15.986	11.248	9.112333333	2	120	11724.09	2040	41110.65
C1X0940	2017	11.03333333	11.42	8.579541667	6.46875	8.018486111	1.398	4.48	6.021666667	15.915	9.089	9.965666667	2	102	5250.09	1808	10732.45
C1X0940	2017	8.416666667	18.3	18.05595833	18.28695833	18.55372222	15.533	15.963	15.49333333	21.676	22.657	22.235	2	180	5539.56	1780	31021.4
C1X0940	2018	11.43333333	14.8	12.95608333	10.84216667	10.31377778	10.051	8.941	8.601	16.415	13.377	12.439	2	80	5477.52	NA	NA
C1X0941	2015	9.916666667	16.987	15.249375	12.97375	12.16786111	8.469	10.614	9.373666667	20.412	15.963	15.12966667	2	240	4328.96	1980	16481.64
C1X0941	2016	11.16666667	13.954	11.793375	7.960791667	11.954125	8.444	5.924	7.469333333	15.724	9.213	16.83433333	2	100	3260.13	2280	7970.25
C1X0942	2015	11.66666667	11.224	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	2	150	4009.2	1800	6969.52
C1X0947	2016	9.266666667	16.082	14.30454167	10.87504167	10.33968056	7.268	7.594	7.181666667	20.603	15.247	14.128	1	100	5478.72	1980	18157.65
C1X0947	2017	12	23.1	14.374875	8.579541667	7.763222222	6	1.398	3.814333333	21.987	15.915	11.55366667	1	180	3618.75	1830	12627.85
